oscar_no,oscar_yr,award,name,movie,age,birth_pl,birth_date,birth_mo,birth_d,birth_y,index,Gender,Race,Director(s),Film,Nomination/Winner
20,1948,Best actress,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06,1,6,1913,95,Male,White,John Huston,The Treasure of the Sierra Madre,Winner
20,1948,Best actress,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06,1,6,1913,96,Male,White,Anatole Litvak,The Snake Pit,Nomination
20,1948,Best actress,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06,1,6,1913,97,Male,White,Jean Negulesco,Johnny Belinda,Nomination
20,1948,Best actress,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06,1,6,1913,98,Male,White,Laurence Olivier,Hamlet,Nomination
20,1948,Best actress,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06,1,6,1913,99,Male,White,Fred Zinnemann,The Search,Nomination
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891,95,Male,White,John Huston,The Treasure of the Sierra Madre,Winner
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891,96,Male,White,Anatole Litvak,The Snake Pit,Nomination
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891,97,Male,White,Jean Negulesco,Johnny Belinda,Nomination
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891,98,Male,White,Laurence Olivier,Hamlet,Nomination
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891,99,Male,White,Fred Zinnemann,The Search,Nomination
21,1949,Best actress,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04,1,4,1914,100,Male,White,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
21,1949,Best actress,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04,1,4,1914,101,Male,White,Carol Reed,The Fallen Idol,Nomination
21,1949,Best actress,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04,1,4,1914,102,Male,White,Robert Rossen,All the King's Men,Nomination
21,1949,Best actress,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04,1,4,1914,103,Male,White,William A. Wellman,Battleground,Nomination
21,1949,Best actress,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04,1,4,1914,104,Male,White,William Wyler,The Heiress,Nomination
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907,100,Male,White,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907,101,Male,White,Carol Reed,The Fallen Idol,Nomination
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907,102,Male,White,Robert Rossen,All the King's Men,Nomination
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907,103,Male,White,William A. Wellman,Battleground,Nomination
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907,104,Male,White,William Wyler,The Heiress,Nomination
22,1950,Best actress,Olivia de Havilland,The Heiress,33,Japan,1916-07-01,7,1,1916,105,Male,White,Joseph L. Mankiewicz,All About Eve,Winner
22,1950,Best actress,Olivia de Havilland,The Heiress,33,Japan,1916-07-01,7,1,1916,106,Male,White,George Cukor,Born Yesterday,Nomination
22,1950,Best actress,Olivia de Havilland,The Heiress,33,Japan,1916-07-01,7,1,1916,107,Male,White,John Huston,The Asphalt Jungle,Nomination
22,1950,Best actress,Olivia de Havilland,The Heiress,33,Japan,1916-07-01,7,1,1916,108,Male,White,Carol Reed,The Third Man,Nomination
22,1950,Best actress,Olivia de Havilland,The Heiress,33,Japan,1916-07-01,7,1,1916,109,Male,White,Billy Wilder,Sunset Boulevard,Nomination
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911,105,Male,White,Joseph L. Mankiewicz,All About Eve,Winner
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911,106,Male,White,George Cukor,Born Yesterday,Nomination
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911,107,Male,White,John Huston,The Asphalt Jungle,Nomination
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911,108,Male,White,Carol Reed,The Third Man,Nomination
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911,109,Male,White,Billy Wilder,Sunset Boulevard,Nomination
23,1951,Best actress,Judy Holliday,Born Yesterday,29,New York,1921-06-21,6,21,1921,110,Male,White,George Stevens,A Place in the Sun,Winner
23,1951,Best actress,Judy Holliday,Born Yesterday,29,New York,1921-06-21,6,21,1921,111,Male,White,John Huston,The African Queen,Nomination
23,1951,Best actress,Judy Holliday,Born Yesterday,29,New York,1921-06-21,6,21,1921,112,Male,White,Elia Kazan,A Streetcar Named Desire,Nomination
23,1951,Best actress,Judy Holliday,Born Yesterday,29,New York,1921-06-21,6,21,1921,113,Male,White,Vincente Minnelli,An American in Paris,Nomination
23,1951,Best actress,Judy Holliday,Born Yesterday,29,New York,1921-06-21,6,21,1921,114,Male,White,William Wyler,Detective Story,Nomination
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909,110,Male,White,George Stevens,A Place in the Sun,Winner
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909,111,Male,White,John Huston,The African Queen,Nomination
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909,112,Male,White,Elia Kazan,A Streetcar Named Desire,Nomination
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909,113,Male,White,Vincente Minnelli,An American in Paris,Nomination
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909,114,Male,White,William Wyler,Detective Story,Nomination
24,1952,Best actress,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05,11,5,1913,115,Male,White,John Ford,The Quiet Man,Winner
24,1952,Best actress,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05,11,5,1913,116,Male,White,Cecil B. DeMille,The Greatest Show on Earth,Nomination
24,1952,Best actress,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05,11,5,1913,117,Male,White,John Huston,Moulin Rouge,Nomination
24,1952,Best actress,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05,11,5,1913,118,Male,White,Joseph L. Mankiewicz,5 Fingers,Nomination
24,1952,Best actress,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05,11,5,1913,119,Male,White,Fred Zinnemann,High Noon,Nomination
24,1952,Best actor,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899,115,Male,White,John Ford,The Quiet Man,Winner
24,1952,Best actor,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899,116,Male,White,Cecil B. DeMille,The Greatest Show on Earth,Nomination
24,1952,Best actor,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899,117,Male,White,John Huston,Moulin Rouge,Nomination
24,1952,Best actor,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899,118,Male,White,Joseph L. Mankiewicz,5 Fingers,Nomination
24,1952,Best actor,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899,119,Male,White,Fred Zinnemann,High Noon,Nomination
25,1953,Best actress,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898,120,Male,White,Fred Zinnemann,From Here to Eternity,Winner
25,1953,Best actress,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898,121,Male,White,George Stevens,Shane,Nomination
25,1953,Best actress,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898,122,Male,White,Charles Walters,Lili,Nomination
25,1953,Best actress,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898,123,Male,White,Billy Wilder,Stalag 17,Nomination
25,1953,Best actress,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898,124,Male,White,William Wyler,Roman Holiday,Nomination
25,1953,Best actor,Gary Cooper,High Noon,51,Montana,1901-05-07,5,7,1901,120,Male,White,Fred Zinnemann,From Here to Eternity,Winner
25,1953,Best actor,Gary Cooper,High Noon,51,Montana,1901-05-07,5,7,1901,121,Male,White,George Stevens,Shane,Nomination
25,1953,Best actor,Gary Cooper,High Noon,51,Montana,1901-05-07,5,7,1901,122,Male,White,Charles Walters,Lili,Nomination
25,1953,Best actor,Gary Cooper,High Noon,51,Montana,1901-05-07,5,7,1901,123,Male,White,Billy Wilder,Stalag 17,Nomination
25,1953,Best actor,Gary Cooper,High Noon,51,Montana,1901-05-07,5,7,1901,124,Male,White,William Wyler,Roman Holiday,Nomination
26,1954,Best actress,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04,5,4,1929,125,Male,White,Elia Kazan,On the Waterfront,Winner
26,1954,Best actress,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04,5,4,1929,126,Male,White,Alfred Hitchcock,Rear Window,Nomination
26,1954,Best actress,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04,5,4,1929,127,Male,White,George Seaton,The Country Girl,Nomination
26,1954,Best actress,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04,5,4,1929,128,Male,White,William A. Wellman,The High and the Mighty,Nomination
26,1954,Best actress,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04,5,4,1929,129,Male,White,Billy Wilder,Sabrina,Nomination
26,1954,Best actor,William Holden,Stalag 17,35,Illinois,1918-04-17,4,17,1918,125,Male,White,Elia Kazan,On the Waterfront,Winner
26,1954,Best actor,William Holden,Stalag 17,35,Illinois,1918-04-17,4,17,1918,126,Male,White,Alfred Hitchcock,Rear Window,Nomination
26,1954,Best actor,William Holden,Stalag 17,35,Illinois,1918-04-17,4,17,1918,127,Male,White,George Seaton,The Country Girl,Nomination
26,1954,Best actor,William Holden,Stalag 17,35,Illinois,1918-04-17,4,17,1918,128,Male,White,William A. Wellman,The High and the Mighty,Nomination
26,1954,Best actor,William Holden,Stalag 17,35,Illinois,1918-04-17,4,17,1918,129,Male,White,Billy Wilder,Sabrina,Nomination
27,1955,Best actress,Grace Kelly,The Country Girl,25,Philly,1929-11-12,11,12,1929,130,Male,White,Delbert Mann,Marty,Winner
27,1955,Best actress,Grace Kelly,The Country Girl,25,Philly,1929-11-12,11,12,1929,131,Male,White,Elia Kazan,East of Eden,Nomination
27,1955,Best actress,Grace Kelly,The Country Girl,25,Philly,1929-11-12,11,12,1929,132,Male,White,David Lean,Summertime,Nomination
27,1955,Best actress,Grace Kelly,The Country Girl,25,Philly,1929-11-12,11,12,1929,133,Male,White,Joshua Logan,Picnic,Nomination
27,1955,Best actress,Grace Kelly,The Country Girl,25,Philly,1929-11-12,11,12,1929,134,Male,White,John Sturges,Bad Day at Black Rock,Nomination
27,1955,Best actor,Marlon Brando,On The Waterfront,30,Nebraska,1924-04-03,4,3,1924,130,Male,White,Delbert Mann,Marty,Winner
27,1955,Best actor,Marlon Brando,On The Waterfront,30,Nebraska,1924-04-03,4,3,1924,131,Male,White,Elia Kazan,East of Eden,Nomination
27,1955,Best actor,Marlon Brando,On The Waterfront,30,Nebraska,1924-04-03,4,3,1924,132,Male,White,David Lean,Summertime,Nomination
27,1955,Best actor,Marlon Brando,On The Waterfront,30,Nebraska,1924-04-03,4,3,1924,133,Male,White,Joshua Logan,Picnic,Nomination
27,1955,Best actor,Marlon Brando,On The Waterfront,30,Nebraska,1924-04-03,4,3,1924,134,Male,White,John Sturges,Bad Day at Black Rock,Nomination
28,1956,Best actress,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07,3,7,1908,135,Male,White,George Stevens,Giant,Winner
28,1956,Best actress,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07,3,7,1908,136,Male,White,Michael Anderson,Around the World in 80 Days,Nomination
28,1956,Best actress,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07,3,7,1908,137,Male,White,Walter Lang,The King and I,Nomination
28,1956,Best actress,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07,3,7,1908,138,Male,White,King Vidor,War and Peace,Nomination
28,1956,Best actress,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07,3,7,1908,139,Male,White,William Wyler,Friendly Persuasion,Nomination
28,1956,Best actor,Ernest Borgnine,Marty,38,Connecticut,1917-01-24,1,24,1917,135,Male,White,George Stevens,Giant,Winner
28,1956,Best actor,Ernest Borgnine,Marty,38,Connecticut,1917-01-24,1,24,1917,136,Male,White,Michael Anderson,Around the World in 80 Days,Nomination
28,1956,Best actor,Ernest Borgnine,Marty,38,Connecticut,1917-01-24,1,24,1917,137,Male,White,Walter Lang,The King and I,Nomination
28,1956,Best actor,Ernest Borgnine,Marty,38,Connecticut,1917-01-24,1,24,1917,138,Male,White,King Vidor,War and Peace,Nomination
28,1956,Best actor,Ernest Borgnine,Marty,38,Connecticut,1917-01-24,1,24,1917,139,Male,White,William Wyler,Friendly Persuasion,Nomination
29,1957,Best actress,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29,8,29,1915,140,Male,White,David Lean,The Bridge on the River Kwai,Winner
29,1957,Best actress,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29,8,29,1915,141,Male,White,Joshua Logan,Sayonara,Nomination
29,1957,Best actress,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29,8,29,1915,142,Male,White,Sidney Lumet,12 Angry Men,Nomination
29,1957,Best actress,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29,8,29,1915,143,Male,White,Mark Robson,Peyton Place,Nomination
29,1957,Best actress,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29,8,29,1915,144,Male,White,Billy Wilder,Witness for the Prosecution,Nomination
29,1957,Best actor,Yul Brynner,The King and I,41,Russia,1915-07-07,7,7,1915,140,Male,White,David Lean,The Bridge on the River Kwai,Winner
29,1957,Best actor,Yul Brynner,The King and I,41,Russia,1915-07-07,7,7,1915,141,Male,White,Joshua Logan,Sayonara,Nomination
29,1957,Best actor,Yul Brynner,The King and I,41,Russia,1915-07-07,7,7,1915,142,Male,White,Sidney Lumet,12 Angry Men,Nomination
29,1957,Best actor,Yul Brynner,The King and I,41,Russia,1915-07-07,7,7,1915,143,Male,White,Mark Robson,Peyton Place,Nomination
29,1957,Best actor,Yul Brynner,The King and I,41,Russia,1915-07-07,7,7,1915,144,Male,White,Billy Wilder,Witness for the Prosecution,Nomination
30,1958,Best actress,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27,2,27,1930,145,Male,White,Vincente Minnelli,Gigi,Winner
30,1958,Best actress,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27,2,27,1930,146,Male,White,Richard Brooks,Cat on a Hot Tin Roof,Nomination
30,1958,Best actress,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27,2,27,1930,147,Male,White,Stanley Kramer,The Defiant Ones,Nomination
30,1958,Best actress,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27,2,27,1930,148,Male,White,Mark Robson,The Inn of the Sixth Happiness,Nomination
30,1958,Best actress,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27,2,27,1930,149,Male,White,Robert Wise,I Want to Live!,Nomination
30,1958,Best actor,Alec Guinness,The Bridge On The River Kwai,43,England,1914-04-02,4,2,1914,145,Male,White,Vincente Minnelli,Gigi,Winner
30,1958,Best actor,Alec Guinness,The Bridge On The River Kwai,43,England,1914-04-02,4,2,1914,146,Male,White,Richard Brooks,Cat on a Hot Tin Roof,Nomination
30,1958,Best actor,Alec Guinness,The Bridge On The River Kwai,43,England,1914-04-02,4,2,1914,147,Male,White,Stanley Kramer,The Defiant Ones,Nomination
30,1958,Best actor,Alec Guinness,The Bridge On The River Kwai,43,England,1914-04-02,4,2,1914,148,Male,White,Mark Robson,The Inn of the Sixth Happiness,Nomination
30,1958,Best actor,Alec Guinness,The Bridge On The River Kwai,43,England,1914-04-02,4,2,1914,149,Male,White,Robert Wise,I Want to Live!,Nomination
31,1959,Best actress,Susan Hayward,I Want to Live!,41,New York,1917-06-30,6,30,1917,150,Male,White,William Wyler,Ben-Hur,Winner
31,1959,Best actress,Susan Hayward,I Want to Live!,41,New York,1917-06-30,6,30,1917,151,Male,White,Jack Clayton,Room at the Top,Nomination
31,1959,Best actress,Susan Hayward,I Want to Live!,41,New York,1917-06-30,6,30,1917,152,Male,White,George Stevens,The Diary of Anne Frank,Nomination
31,1959,Best actress,Susan Hayward,I Want to Live!,41,New York,1917-06-30,6,30,1917,153,Male,White,Billy Wilder,Some Like It Hot,Nomination
31,1959,Best actress,Susan Hayward,I Want to Live!,41,New York,1917-06-30,6,30,1917,154,Male,White,Fred Zinnemann,The Nun's Story,Nomination
31,1959,Best actor,David Niven,Separate Tables,48,Wales,1910-03-01,3,1,1910,150,Male,White,William Wyler,Ben-Hur,Winner
31,1959,Best actor,David Niven,Separate Tables,48,Wales,1910-03-01,3,1,1910,151,Male,White,Jack Clayton,Room at the Top,Nomination
31,1959,Best actor,David Niven,Separate Tables,48,Wales,1910-03-01,3,1,1910,152,Male,White,George Stevens,The Diary of Anne Frank,Nomination
31,1959,Best actor,David Niven,Separate Tables,48,Wales,1910-03-01,3,1,1910,153,Male,White,Billy Wilder,Some Like It Hot,Nomination
31,1959,Best actor,David Niven,Separate Tables,48,Wales,1910-03-01,3,1,1910,154,Male,White,Fred Zinnemann,The Nun's Story,Nomination
32,1960,Best actress,Simone Signoret,Room at the Top,38,Germany,1921-03-25,3,25,1921,155,Male,White,Billy Wilder,The Apartment,Winner
32,1960,Best actress,Simone Signoret,Room at the Top,38,Germany,1921-03-25,3,25,1921,156,Male,White,Jack Cardiff,Sons and Lovers,Nomination
32,1960,Best actress,Simone Signoret,Room at the Top,38,Germany,1921-03-25,3,25,1921,157,Male,White,Jules Dassin,Never on Sunday,Nomination
32,1960,Best actress,Simone Signoret,Room at the Top,38,Germany,1921-03-25,3,25,1921,158,Male,White,Alfred Hitchcock,Psycho,Nomination
32,1960,Best actress,Simone Signoret,Room at the Top,38,Germany,1921-03-25,3,25,1921,159,Male,White,Fred Zinnemann,The Sundowners,Nomination
32,1960,Best actor,Charlton Heston,Ben-Hur,36,Illinois,1923-10-04,10,4,1923,155,Male,White,Billy Wilder,The Apartment,Winner
32,1960,Best actor,Charlton Heston,Ben-Hur,36,Illinois,1923-10-04,10,4,1923,156,Male,White,Jack Cardiff,Sons and Lovers,Nomination
32,1960,Best actor,Charlton Heston,Ben-Hur,36,Illinois,1923-10-04,10,4,1923,157,Male,White,Jules Dassin,Never on Sunday,Nomination
32,1960,Best actor,Charlton Heston,Ben-Hur,36,Illinois,1923-10-04,10,4,1923,158,Male,White,Alfred Hitchcock,Psycho,Nomination
32,1960,Best actor,Charlton Heston,Ben-Hur,36,Illinois,1923-10-04,10,4,1923,159,Male,White,Fred Zinnemann,The Sundowners,Nomination
33,1961,Best actress,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27,2,27,1932,160,Male,White,Robert Wise & Jerome Robbins,West Side Story,Winner
33,1961,Best actress,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27,2,27,1932,161,Male,White,Federico Fellini,La Dolce Vita,Nomination
33,1961,Best actress,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27,2,27,1932,162,Male,White,Stanley Kramer,Judgment at Nuremberg,Nomination
33,1961,Best actress,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27,2,27,1932,163,Male,White,Robert Rossen,The Hustler,Nomination
33,1961,Best actress,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27,2,27,1932,164,Male,White,J. Lee Thompson,The Guns of Navarone,Nomination
33,1961,Best actor,Burt Lancaster,Elmer Gantry,47,New York,1913-11-02,11,2,1913,160,Male,White,Robert Wise & Jerome Robbins,West Side Story,Winner
33,1961,Best actor,Burt Lancaster,Elmer Gantry,47,New York,1913-11-02,11,2,1913,161,Male,White,Federico Fellini,La Dolce Vita,Nomination
33,1961,Best actor,Burt Lancaster,Elmer Gantry,47,New York,1913-11-02,11,2,1913,162,Male,White,Stanley Kramer,Judgment at Nuremberg,Nomination
33,1961,Best actor,Burt Lancaster,Elmer Gantry,47,New York,1913-11-02,11,2,1913,163,Male,White,Robert Rossen,The Hustler,Nomination
33,1961,Best actor,Burt Lancaster,Elmer Gantry,47,New York,1913-11-02,11,2,1913,164,Male,White,J. Lee Thompson,The Guns of Navarone,Nomination
34,1962,Best actress,Sophia Loren,Two Women,27,Italy,1934-09-20,9,20,1934,165,Male,White,David Lean,Lawrence of Arabia,Winner
34,1962,Best actress,Sophia Loren,Two Women,27,Italy,1934-09-20,9,20,1934,166,Male,White,Pietro Germi,Divorce Italian Style,Nomination
34,1962,Best actress,Sophia Loren,Two Women,27,Italy,1934-09-20,9,20,1934,167,Male,White,Robert Mulligan,To Kill a Mockingbird,Nomination
34,1962,Best actress,Sophia Loren,Two Women,27,Italy,1934-09-20,9,20,1934,168,Male,White,Arthur Penn,The Miracle Worker,Nomination
34,1962,Best actress,Sophia Loren,Two Women,27,Italy,1934-09-20,9,20,1934,169,Male,White,Frank Perry,David and Lisa,Nomination
34,1962,Best actor,Maximilian Schell,Judgment at Nuremburg,31,Austria,1930-12-08,12,8,1930,165,Male,White,David Lean,Lawrence of Arabia,Winner
34,1962,Best actor,Maximilian Schell,Judgment at Nuremburg,31,Austria,1930-12-08,12,8,1930,166,Male,White,Pietro Germi,Divorce Italian Style,Nomination
34,1962,Best actor,Maximilian Schell,Judgment at Nuremburg,31,Austria,1930-12-08,12,8,1930,167,Male,White,Robert Mulligan,To Kill a Mockingbird,Nomination
34,1962,Best actor,Maximilian Schell,Judgment at Nuremburg,31,Austria,1930-12-08,12,8,1930,168,Male,White,Arthur Penn,The Miracle Worker,Nomination
34,1962,Best actor,Maximilian Schell,Judgment at Nuremburg,31,Austria,1930-12-08,12,8,1930,169,Male,White,Frank Perry,David and Lisa,Nomination
35,1963,Best actress,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17,9,17,1931,170,Male,White,Tony Richardson,Tom Jones,Winner
35,1963,Best actress,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17,9,17,1931,171,Male,White,Federico Fellini,8½,Nomination
35,1963,Best actress,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17,9,17,1931,172,Male,White,Elia Kazan,America America,Nomination
35,1963,Best actress,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17,9,17,1931,173,Male,White,Otto Preminger,The Cardinal,Nomination
35,1963,Best actress,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17,9,17,1931,174,Male,White,Martin Ritt,Hud,Nomination
35,1963,Best actor,Gregory Peck,To Kill a Mockingbird,46,California,1916-04-05,4,5,1916,170,Male,White,Tony Richardson,Tom Jones,Winner
35,1963,Best actor,Gregory Peck,To Kill a Mockingbird,46,California,1916-04-05,4,5,1916,171,Male,White,Federico Fellini,8½,Nomination
35,1963,Best actor,Gregory Peck,To Kill a Mockingbird,46,California,1916-04-05,4,5,1916,172,Male,White,Elia Kazan,America America,Nomination
35,1963,Best actor,Gregory Peck,To Kill a Mockingbird,46,California,1916-04-05,4,5,1916,173,Male,White,Otto Preminger,The Cardinal,Nomination
35,1963,Best actor,Gregory Peck,To Kill a Mockingbird,46,California,1916-04-05,4,5,1916,174,Male,White,Martin Ritt,Hud,Nomination
36,1964,Best actress,Patricia Neal,Hud,37,Kentucky,1926-01-20,1,20,1926,175,Male,White,George Cukor,My Fair Lady,Winner
36,1964,Best actress,Patricia Neal,Hud,37,Kentucky,1926-01-20,1,20,1926,176,Male,White,Michael Cacoyannis,Zorba the Greek,Nomination
36,1964,Best actress,Patricia Neal,Hud,37,Kentucky,1926-01-20,1,20,1926,177,Male,White,Peter Glenville,Becket,Nomination
36,1964,Best actress,Patricia Neal,Hud,37,Kentucky,1926-01-20,1,20,1926,178,Male,White,Stanley Kubrick,Dr. Strangelove,Nomination
36,1964,Best actress,Patricia Neal,Hud,37,Kentucky,1926-01-20,1,20,1926,179,Male,White,Robert Stevenson,Mary Poppins,Nomination
36,1964,Best actor,Sidney Poitier,Lilies of the Field,36,Florida,1927-02-20,2,20,1927,175,Male,White,George Cukor,My Fair Lady,Winner
36,1964,Best actor,Sidney Poitier,Lilies of the Field,36,Florida,1927-02-20,2,20,1927,176,Male,White,Michael Cacoyannis,Zorba the Greek,Nomination
36,1964,Best actor,Sidney Poitier,Lilies of the Field,36,Florida,1927-02-20,2,20,1927,177,Male,White,Peter Glenville,Becket,Nomination
36,1964,Best actor,Sidney Poitier,Lilies of the Field,36,Florida,1927-02-20,2,20,1927,178,Male,White,Stanley Kubrick,Dr. Strangelove,Nomination
36,1964,Best actor,Sidney Poitier,Lilies of the Field,36,Florida,1927-02-20,2,20,1927,179,Male,White,Robert Stevenson,Mary Poppins,Nomination
37,1965,Best actress,Julie Andrews,Mary Poppins,29,England,1935-10-01,10,1,1935,180,Male,White,Robert Wise,The Sound of Music,Winner
37,1965,Best actress,Julie Andrews,Mary Poppins,29,England,1935-10-01,10,1,1935,181,Male,White,David Lean,Doctor Zhivago,Nomination
37,1965,Best actress,Julie Andrews,Mary Poppins,29,England,1935-10-01,10,1,1935,182,Male,White,John Schlesinger,Darling,Nomination
37,1965,Best actress,Julie Andrews,Mary Poppins,29,England,1935-10-01,10,1,1935,183,Male,White,Hiroshi Teshigahara,Woman in the Dunes,Nomination
37,1965,Best actress,Julie Andrews,Mary Poppins,29,England,1935-10-01,10,1,1935,184,Male,White,William Wyler,The Collector,Nomination
37,1965,Best actor,Rex Harrison,My Fair Lady,56,England,1908-03-05,3,5,1908,180,Male,White,Robert Wise,The Sound of Music,Winner
37,1965,Best actor,Rex Harrison,My Fair Lady,56,England,1908-03-05,3,5,1908,181,Male,White,David Lean,Doctor Zhivago,Nomination
37,1965,Best actor,Rex Harrison,My Fair Lady,56,England,1908-03-05,3,5,1908,182,Male,White,John Schlesinger,Darling,Nomination
37,1965,Best actor,Rex Harrison,My Fair Lady,56,England,1908-03-05,3,5,1908,183,Male,White,Hiroshi Teshigahara,Woman in the Dunes,Nomination
37,1965,Best actor,Rex Harrison,My Fair Lady,56,England,1908-03-05,3,5,1908,184,Male,White,William Wyler,The Collector,Nomination
38,1966,Best actress,Julie Christie,Darling,25,India,1940-04-14,4,14,1940,185,Male,White,Fred Zinnemann,A Man for All Seasons,Winner
38,1966,Best actress,Julie Christie,Darling,25,India,1940-04-14,4,14,1940,186,Male,White,Michelangelo Antonioni,Blowup,Nomination
38,1966,Best actress,Julie Christie,Darling,25,India,1940-04-14,4,14,1940,187,Male,White,Richard Brooks,The Professionals,Nomination
38,1966,Best actress,Julie Christie,Darling,25,India,1940-04-14,4,14,1940,188,Male,White,Claude Lelouch,A Man and a Woman,Nomination
38,1966,Best actress,Julie Christie,Darling,25,India,1940-04-14,4,14,1940,189,Male,White,Mike Nichols,Who's Afraid of Virginia Woolf?,Nomination
38,1966,Best actor,Lee Marvin,Cat Ballou,41,New York,1924-02-19,2,19,1924,185,Male,White,Fred Zinnemann,A Man for All Seasons,Winner
38,1966,Best actor,Lee Marvin,Cat Ballou,41,New York,1924-02-19,2,19,1924,186,Male,White,Michelangelo Antonioni,Blowup,Nomination
